xid,name,url,stars,wikipedia,image,address,lon,lat,kinds_amount
N5920354817,l'arco dei sogni,https://www.booking.com/hotel/it/l-39-arco-dei-sogni.html,null,null,null,Via Posta Vecchia Arco dei Sogni SIC ME Italia Malvagna 95012 it 1 ,15.055806159973145,37.91802978515625,3
N1775973453,gianni house backpackers hostel,https://www.booking.com/hotel/it/gianni-house.html,null,null,null,Via Enna SIC ME Italia Giardini-Naxos 98035 it Recanati ,15.263931274414062,37.8218879699707,2
N6176383086,hostel taormina - homstel,https://www.booking.com/hotel/it/hostel-taormina.html,null,null,null,Via Circonvallazione Taormina Hostel Taormina SIC ME Italia 98039 it 13 ,15.287510871887207,37.853660583496094,2
W409630609,Taormina Holidays Residence,https://www.booking.com/hotel/it/taormina-holidays-residence.html,null,null,null,Strada statale Orientale Sicula SIC ME Italia Sant'Alessio Siculo 93038 it ,15.338391304016113,37.90785217285156,3
N4364813294,Al Numero Zero,https://www.booking.com/hotel/it/al-numero-zero.html,null,null,null,Lipari SIC ME Italia it ,14.944918632507324,38.460567474365234,3
W334600494,Agriturismo Santa Venera,null,null,null,null,SIC PA Mandria dei Cervi Italia Polizzi Generosa 90028 it ,13.974589347839355,37.842994689941406,2
N5124347124,4Cannola,null,null,null,null,SIC PA Italia Castelbuono 90013 it ,14.088122367858887,37.931026458740234,2
W372855385,Rifugio del Parco,null,null,null,null,Strada statale di Cesarò SIC ME Italia San Fratello it ,14.634109497070312,37.94168472290039,2
N4371643295,Villa De Angelis,null,null,null,null,Strada statale di Cesarò SIC ME Italia San Fratello it ,14.632441520690918,37.94296646118164,2
W154915243,Clan dei Ragazzi,null,null,null,null,Mareneve SIC CT Italia Linguaglossa it ,15.067261695861816,37.806053161621094,5
N5261688927,YHA Cohen Hostel,https://www.hostelstaormina.com/,null,null,null,Via Angelo Musco YHA Cohen Hostel SIC CT Italia Fiumefreddo di Sicilia 98039 it 29 Vignagrande ,15.20684814453125,37.788631439208984,2
N3148261297,B&B Casarupilio,null,null,null,null,Via Dionisio Primo Taormina SIC ME Italia 98039 it ,15.28194522857666,37.8524169921875,2
N4407684693,Villa Nicedream,null,null,null,null,Via dietro Cappuccini Taormina Villa Nicedream SIC ME Italia 98039 it 2 ,15.285881042480469,37.85627746582031,2
N5922016282,Borgo Galladoro,http://albergodiffusoborgogallodoro.it,null,null,null,Via Ventiquattro Maggio Borgo Galladoro SIC CT Italia Castiglione di Sicilia 98034 it 2 ,15.120824813842773,37.88285446166992,2
W318984257,Case Betania,null,null,null,null,Mongiuffi Melia Strada Provinciale 14 del Santuario Madonna della Catena SIC ME Italia it ,15.262289047241211,37.916648864746094,2
N5129445624,Cohen Hostel,https://www.hostelstaormina.com/,null,null,null,Via Bongiovanni Taormina Cohen Hostel SIC ME Italia 98038 it 29 ,15.298513412475586,37.85219955444336,2
W409630601,B&B Fondacoparrino Mare,null,null,null,null,Strada statale Orientale Sicula SIC ME Italia Letojanni 93038 it ,15.33480167388916,37.90483474731445,2
N1859014106,Vallegrande Nature Resort,https://www.vallegrande.it/,null,null,null,SIC PA Italia Pollina it ,14.072793960571289,38.00199890136719,2
W412287715,Locanda La Scogliera,null,null,null,null,Via Santa Margherita SIC ME Italia Sant'Alessio Siculo 93038 it ,15.344690322875977,37.910640716552734,2
W474313263,,null,null,null,null,Via Crocifisso Taormina SIC ME Italia 98039 it ,15.279897689819336,37.848854064941406,2
