xid,name,url,stars,wikipedia,image,address,lon,lat,kinds_amount
N3911749169,agriturismo la targa,https://www.booking.com/hotel/it/agriturismo-la-targa-florio.html,null,null,null,Strada statale dell'Etna e delle Madonie Termini Imerese SIC PA Italia it ,13.79813289642334,37.9206428527832,2
N1868726865,agriturismo case tabarani,https://www.booking.com/hotel/it/agriturismo-case-tabarani.html,null,null,null,SIC PA Italia Collesano 90016 it ,13.873590469360352,37.92813491821289,2
N4349691762,B&B Crocco D'Oro,https://www.booking.com/hotel/it/b-amp-b-crocco-d-39-oro.html,null,null,null,Via Giuseppe Garibaldi SIC PA Italia Caltavuturo 90022 it ,13.889894485473633,37.82143783569336,2
N4349691761,B&B Caltart,https://www.booking.com/hotel/it/b-amp-b-caltart-caltavuturo.html,null,null,null,Via Niccolò Machiavelli B&B Caltart SIC PA Italia Caltavuturo 90022 it 12 ,13.89110279083252,37.82230758666992,2
N8284180135,b&b sciabake,https://www.booking.com/hotel/it/b-b-sciabake.html,null,null,null,Via Garibaldi SIC PA Italia Polizzi Generosa 90028 it ,14.000200271606445,37.81233596801758,2
N1510105694,Il Baglio di Nonna Clelia,https://www.booking.com/hotel/it/il-baglio-di-nonna-clelia.html,null,null,null,Strada Comunale Contrada Bistorno - Rocca di Bronte Il Baglio di Nonna Clelia SIC PA Italia Polizzi Generosa 90028 it ,13.978716850280762,37.816768646240234,2
N3280906167,Acacia Resort Parco dei Leoni,https://www.booking.com/hotel/it/acacia-resort-parco-dei-leoni.html,4,null,null,SIC PA Italia Campofelice di Roccella it ,13.840765953063965,37.98206329345703,2
N3280906029,dolcestate hotel -club,https://www.booking.com/hotel/it/dolcestate-club.html,4,null,null,Viale Himera SIC PA Italia Campofelice di Roccella 90010 it ,13.842720985412598,37.98112869262695,2
W802864081,Residence Fontana Barone,https://www.booking.com/hotel/it/residence-fontana-barone.html,null,null,null,Cefalù SIC PA Italia it ,13.973958015441895,38.02801513671875,2
W250242533,astro suite hotel,https://www.booking.com/hotel/it/astro-suite.html,4,null,null,Via Maestro Vincenzo Pintorno Cefalù SIC PA Italia 90015 it ,14.015788078308105,38.03490447998047,2
W560927465,hotel tourist,https://www.booking.com/hotel/it/tourist.html,3,null,null,Lungomare Giuseppe Giardina Cefalù SIC PA Italia 90015 it ,14.007604598999023,38.03224563598633,2
W303496623,Bouganville B&B,https://www.booking.com/hotel/it/bouganville-b.html,null,null,null,Via dei Mulini Cefalù Bouganville B&B SIC PA Italia 90015 it 57 ,14.014071464538574,38.029109954833984,2
W604254648,Camping Costa Ponente,https://www.booking.com/hotel/it/camping-costa-ponente.html,null,null,null,Strada statale Settentrionale Sicula Cefalù SIC PA Italia 90015 it ,13.983535766601562,38.028236389160156,2
N3298124896,campeggio sanfilippo,https://www.booking.com/hotel/it/campeggio-sanfilippo.html,null,null,null,Strada statale Settentrionale Sicula Cefalù SIC PA Italia 90015 it ,13.982422828674316,38.02692794799805,2
W560926689,Hotel Santa Lucia le Sabbie d'Oro,https://www.booking.com/hotel/it/hotelsantalucialesabbiedoro.html,4,null,null,Cefalù SIC PA Italia 90015 it ,14.00109577178955,38.03123474121094,2
W304005582,Cefalu Sea Palace,https://www.booking.com/hotel/it/cefalu-sea-palace.html,5,null,null,Cefalù SIC PA Italia 90015 it ,14.013182640075684,38.03366470336914,2
N6573300425,La Veduta,https://www.booking.com/hotel/it/la-veduta-cefalu-39.html,null,null,null,Via Pisciotto Cefalù SIC PA Italia 90015 it 24 ,14.011396408081055,38.024513244628906,3
N2872731378,Hotel Villa Belvedere,https://www.booking.com/hotel/it/villa-belvedere.html,3,null,null,Via dei Mulini Cefalù Hotel Villa Belvedere SIC PA Italia 90015 it 43 ,14.0137939453125,38.03009796142578,2
N6043500290,villa margherita,https://www.booking.com/hotel/it/villa-margherita-cefalu.html,null,null,null,Cefalù SIC PA Italia 90015 it ,14.012407302856445,38.03287887573242,2
W304005579,villa cerniglia plus,https://www.booking.com/hotel/it/villa-cerniglia-plus.html,null,null,null,Lungomare Giuseppe Giardina Cefalù SIC PA Italia 90015 it ,14.012214660644531,38.03362274169922,2
W250236354,le calette n. 5,https://www.booking.com/hotel/it/le-calette-boutique.html,5,null,null,Cefalù SIC PA Italia 90015 it ,14.035961151123047,38.03459548950195,2
N3801889690,La Petite Maison,https://www.booking.com/hotel/it/la-petite-maison-cefalu.html,null,null,null,Via del Giubileo Magno Cefalù La Petite Maison SIC PA Italia 90015 it 15 ,14.022740364074707,38.03126907348633,3
N4218592998,Ma&Mi For You B&B,https://www.booking.com/hotel/it/ma-amp-mi-for-you.html,null,null,null,Via Di Belgioioso Cefalù Ma&Mi For You B&B SIC PA Italia 90015 it 4 ,14.023537635803223,38.033470153808594,2
N6793607186,Villa Magara,https://www.booking.com/hotel/it/villa-magara.html,null,null,null,Cefalù SIC PA Italia 90015 it ,14.040468215942383,38.02886199951172,2
N4896945108,B&B Villa di Giorgi,https://www.booking.com/hotel/it/b-b-villa-di-giorgi.html,null,null,null,Cefalù SIC PA Italia 90015 it ,14.02480697631836,38.031185150146484,2
W628255489,Blue Bay,https://www.booking.com/hotel/it/bluebay.html,null,null,null,Cefalù SIC PA Italia 90015 it ,14.038688659667969,38.032806396484375,2
W250236369,Hotel Kalura,https://www.booking.com/hotel/it/kalura.html,4,null,null,Cefalù SIC PA Italia 90015 it ,14.038369178771973,38.033931732177734,2
N2969949369,Bohemien,https://www.booking.com/hotel/it/bohemien-b-b.html,null,null,null,Via Umberto I Cefalù SIC PA Italia 90015 it ,14.022542953491211,38.03572082519531,2
W554762857,Retro Rooms,https://www.booking.com/hotel/it/retro-39-rooms.html,null,null,null,Via San Pasquale Cefalù SIC PA Italia 90015 it ,14.019411087036133,38.03487777709961,2
N5943851805,Madema B&B,https://www.booking.com/hotel/it/madema-b-amp-b.html,null,null,null,Via Costa Cefalù Madema B&B SIC PA Italia 90015 it 1 ,14.02243709564209,38.03919219970703,2
N9046144917,hotel la plumeria,https://www.booking.com/hotel/it/la-plumeria.html,4,null,null,Corso Ruggero Cefalù trattoria-pizzeria 'Na Principi SIC PA Italia 90015 it 192 ,14.02221965789795,38.040740966796875,2
W250234493,al pescatore,https://www.booking.com/hotel/it/al-pescatore.html,3,null,null,Via dei Pescatori Cefalù SIC PA Italia 90015 it ,14.030649185180664,38.034889221191406,2
N538077207,Il Castello,https://www.booking.com/hotel/it/il-castello-petralia-sottana.html,null,null,null,SIC PA Italia Petralia Sottana it ,14.092775344848633,37.80846405029297,2
W283568463,B&B Villa Calagioli,https://www.booking.com/hotel/it/villa-calagioli.html,null,null,null,Via R SIC PA Italia Castelbuono 90013 it ,14.095176696777344,37.9283447265625,2
W117485141,Turismo Rurale Oro Verde,https://www.booking.com/hotel/it/turismo-rurale-oro-verde.html,null,null,null,Bronte SIC CT Italia 95034 it ,14.849480628967285,37.795433044433594,5
N1323499069,La Fucina di Vulcano,https://www.booking.com/hotel/it/la-fucina-di-vulcano.html,3,null,null,Strada statale Occidentale Etnea Bronte SIC CT Italia 95034 it ,14.857451438903809,37.809783935546875,5
N4753009785,Etna Quota Mille,https://www.booking.com/hotel/it/etna-quota-mille.html,null,null,null,Ex Trazzera Quota Mille Randazzo SIC CT Contrada Marzarola Italia 95036 it ,14.96780014038086,37.8570671081543,2
N4907701282,ai tre parchi bed and bike,https://www.booking.com/hotel/it/ai-tre-parchi-bed-and-bike.html,null,null,null,Via Tagliamento Randazzo SIC CT Contrada Sciarrone Italia 95036 it 49 ,14.9483060836792,37.8747673034668,2
N981434906,Edelweiss,https://www.booking.com/hotel/it/edelweiss-randazzo.html,null,null,null,Via Duca degli Abruzzi Randazzo SIC CT Contrada Sciarrone Italia 95036 it ,14.9507474899292,37.87956237792969,2
W761647980,Hotel Scrivano,https://www.booking.com/hotel/it/scrivano.html,3,null,null,Via Giuseppe Bonaventura Randazzo Hotel Scrivano SIC CT Contrada Sciarrone Italia 95036 it 2 ,14.952003479003906,37.878150939941406,2
N1420466786,Agriturismo Borgo San Nicolao,https://www.booking.com/hotel/it/borgo-san-nicolao.html,null,null,null,Strada statale dell'Etna e delle Madonie SOLE DI SICILIA SIC CT Italia Castiglione di Sicilia 95036 it 27/A ,15.011284828186035,37.879119873046875,2
N4179654203,agri hotel da marianna,https://www.booking.com/hotel/it/agri-da-marianna.html,3,null,null,Strada statale Randazzo - Capo d'Orlando SIC ME Italia Santa Domenica Vittoria it ,14.95834732055664,37.92156982421875,2
N8497732684,b&b al vulcanetto,https://www.booking.com/hotel/it/b-amp-b-al-vulcanetto.html,null,null,null,Vico II Sant'Antonino SIC ME Italia Moio 95012 it ,15.049952507019043,37.90015411376953,2
N5920354817,l'arco dei sogni,https://www.booking.com/hotel/it/l-39-arco-dei-sogni.html,null,null,null,Via Posta Vecchia Arco dei Sogni SIC ME Italia Malvagna 95012 it 1 ,15.055806159973145,37.91802978515625,3
N6703448683,viola nel parco,https://www.booking.com/hotel/it/viola-nel-parco.html,null,null,null,Via Milo Linguaglossa SIC CT Case Bevacqua Italia Piedimonte Etneo it ,15.127209663391113,37.779869079589844,2
N4840642866,Villa Scozilia,https://www.booking.com/hotel/it/villa-scozilia.html,null,null,null,SP68 SIC CT Case Bevacqua Italia Piedimonte Etneo 95017 it ,15.143600463867188,37.79766082763672,2
N4831241710,oasi del fiumefreddo,https://www.booking.com/hotel/it/oasi-del-fiumefreddo.html,null,null,null,Via Marina SIC CT Italia Fiumefreddo di Sicilia 95011 it Marina di Cottone ,15.227180480957031,37.79172134399414,2
W142247223,Borgata Baldazza,https://www.booking.com/hotel/it/borgata-baldazza.html,4,null,null,SIC CT Case Bevacqua Italia Piedimonte Etneo 95015 it ,15.136495590209961,37.81471633911133,5
N4840642865,Casa Gallida,https://www.booking.com/hotel/it/casa-gallida.html,null,null,null,Via Grotte Nicodemo SIC CT Case Bevacqua Italia Piedimonte Etneo 95017 it ,15.14570140838623,37.8013801574707,2
N4843931744,agriturismo etna-mare,https://www.booking.com/hotel/it/etna-mare-agriturismo.html,null,null,null,Traversa I di Via Terremorte SIC CT Case Bevacqua Italia Piedimonte Etneo 95015 it ,15.157670021057129,37.824424743652344,2
N2965929507,Casa Vacanze da Sina,https://www.booking.com/hotel/it/casa-vacanze-da-sina.html,null,null,null,Via della Teleferica SIC CT Italia Linguaglossa 95015 it Catena ,15.137166023254395,37.84089660644531,2
W128284282,b&b villa refe,https://www.booking.com/hotel/it/b-amp-b-villa-refe.html,null,null,null,Mareneve Villa Refe SIC CT Italia Linguaglossa 95015 it 56 Catena ,15.133790969848633,37.84065628051758,2
W734090592,fiumefreddo hotel,https://www.booking.com/hotel/it/fiumefreddo.html,3,null,null,Via Principe di Piemonte SIC CT Italia Fiumefreddo di Sicilia 95017 it 25a Vignagrande ,15.206809043884277,37.793827056884766,2
N4831241745,serra san biagio,https://www.booking.com/hotel/it/agriturismo-serra-san-biagio.html,null,null,null,Via Angelo D'Arrigo SIC CT Italia Fiumefreddo di Sicilia 95011 it ,15.226868629455566,37.80121612548828,2
W80725639,castello di san marco charming hotel & spa,https://www.booking.com/hotel/it/castellodisanmarcoresortcalatabiano.html,4,null,null,Via San Marco SIC CT Italia Calatabiano 95011 it Pasteria ,15.24655532836914,37.80152893066406,2
W719024438,camping almoetia,https://www.booking.com/hotel/it/almoetia-residence.html,null,null,null,Via San Marco SIC CT Italia Calatabiano 95011 it Pasteria ,15.24549388885498,37.80565643310547,2
N4721169255,b&b sicily in love,https://www.booking.com/hotel/it/b-amp-b-sicily-in-love.html,null,null,null,Via degli Ulivi Taormina SIC ME Italia 98035 it ,15.247685432434082,37.83143997192383,2
W414245156,Hotel Panoramic,https://www.booking.com/hotel/it/panoramic-giardini-naxos.html,4,null,null,Via Schisò SIC ME Italia Giardini-Naxos 98035 it Schisò ,15.271151542663574,37.823646545410156,2
N4614171408,b&b villa maria giovanna,https://www.booking.com/hotel/it/b-amp-b-villa-maria-giovanna.html,null,null,null,Via Porticato SIC ME Italia Giardini-Naxos 98035 it Pallio ,15.254525184631348,37.813865661621094,2
N759146473,hotel caesar palace,https://www.booking.com/hotel/it/caesar-palace.html,4,null,null,Via Consolare Valeria SIC ME Italia Giardini-Naxos 98035 it Pallio ,15.25372314453125,37.82073211669922,2
W475777048,Sant Alphio Garden Hotel & Spa,https://www.booking.com/hotel/it/sant-alphio-garden-e-spa.html,4,null,null,Via Recanati SIC ME Italia Giardini-Naxos 98035 it Pallio ,15.261219024658203,37.81557846069336,2
W289852343,residence villa giardini,https://www.booking.com/hotel/it/residence-villa-giardini.html,3,null,null,Via Larunchi SIC ME Italia Giardini-Naxos 98035 it Schisò ,15.267894744873047,37.82393264770508,2
N1775973453,gianni house backpackers hostel,https://www.booking.com/hotel/it/gianni-house.html,null,null,null,Via Enna SIC ME Italia Giardini-Naxos 98035 it Recanati ,15.263931274414062,37.8218879699707,2
N759146431,hotel sabbie d'oro,https://www.booking.com/hotel/it/sabbie-d-oro.html,4,null,null,Via Schisò SIC ME Italia Giardini-Naxos 98035 it Schisò ,15.270238876342773,37.824520111083984,2
W408909992,costa azzurra,https://www.booking.com/hotel/it/costa-azzurra-giardini-naxos.html,2,null,null,Via Naxos SIC ME Italia Giardini-Naxos 98035 it Schisò ,15.269231796264648,37.83125686645508,2
W517294997,Hotel Tysandros,https://www.booking.com/hotel/it/tysandros.html,3,null,null,Lungomare Tysandros Hotel Tysandros SIC ME Italia Giardini-Naxos 98035 it 22 Schisò ,15.271185874938965,37.83406448364258,2
W83696299,Il Giardino di Graziella,https://www.booking.com/hotel/it/il-giardino-di-graziella.html,null,null,null,Contrada Mastrissa Taormina SIC ME Italia 98039 it ,15.270672798156738,37.85008239746094,2
W474317873,Hotel Villa Sirina,https://www.booking.com/hotel/it/villa-sirina.html,4,null,null,Contrada Sirina Taormina SIC ME Italia 98039 it ,15.277862548828125,37.846248626708984,2
N3148267799,Hotel Pensione Cundari,https://www.booking.com/hotel/it/pensione-cundari.html,1,null,null,Via Nazionale Taormina SIC ME Italia 98039 it ,15.28027057647705,37.843589782714844,2
W404730989,B&B Miramare,https://www.booking.com/hotel/it/bed-giardini-naxos.html,null,null,null,Corso Umberto I B&B Miramare SIC ME Italia Giardini-Naxos 98039 it 24 Schisò ,15.279770851135254,37.842227935791016,2
N3292477116,Casa Pancrazia,https://www.booking.com/hotel/it/casa-pancrazia-taormina.html,null,null,null,Piazza del Tocco Taormina SIC ME Italia 98039 it ,15.281617164611816,37.851524353027344,2
N2169058996,porta del tocco design rooms,https://www.booking.com/hotel/it/porta-del-tocco.html,3,null,null,Taormina SIC ME Italia 98039 Salita Ibrahim it ,15.281846046447754,37.851348876953125,2
N4853226825,Taormina Bed and BeerCraft,https://www.booking.com/hotel/it/taormina-bed-and-beercraft.html,null,null,null,Taormina Taormina Bed and BeerCraft SIC ME Italia 98039 Via Cesare Ottaviano it 15 ,15.280865669250488,37.852474212646484,2
W413058490,hotel mediterranee,https://www.booking.com/hotel/it/mediterranee.html,4,null,null,Galleria Monte Tauro Taormina SIC ME Italia 98039 it ,15.28291130065918,37.85252380371094,2
